U,V,W,X,Y,Z
0.28470195824405425,0.43721879192758684,0.7636461051284607,0.6206576143113708,0.8185236750618872,0.830147137278256
0.7757869959352356,0.890571500554621,0.5695417637299734,0.7210629973459444,0.3928871894341432,0.2907994972311511
0.6358716070647646,0.11515861396958915,0.7385796322580092,0.6053603027911235,0.807437765799642,0.7256985595715671
0.8699914965027656,0.34847583034686747,0.6929119656608212,0.750740817538489,0.42724921972374724,0.5135443314037774
0.432920374320033,0.7235499013155121,0.7060811163637359,0.5403103820430453,0.8201751237983198,0.8632681861517504
0.8999105404432629,0.6311170076310899,0.5964857916353439,0.8014859969646569,0.4135632402381303,0.20800744092839626
0.3295444825976423,0.6704182529186682,0.7747471946118105,0.4338962459896216,0.8111960431646782,0.5819293582542955
0.8159988574550116,0.7361943965273304,0.4838897309705303,0.785604295784806,0.46490145162510865,0.7254554314789322
0.5573023374270188,0.5217363165969139,0.8222065737394063,0.4999376717573973,0.8206243012562933,0.6035602024561074
0.9282191552568545,0.8278449505439903,0.3988655128803118,0.7971288366613506,0.3954157164847708,0.7241822073520408
0.2283555014381835,0.24935462889365745,0.7852808139808457,0.493477220603692,0.7809447119694398,0.634883340917221
0.6522226157650353,0.6667126158638014,0.5569055860444893,0.8080631452655378,0.5319822646153164,0.6971082754784779
0.8400475559271576,0.6742235831164431,0.7986661501768701,0.4270047646389834,0.8026537330182866,0.6411300122910439
0.4976915576876272,0.6022022896145732,0.41507646031262957,0.7991986688750188,0.4956857821710774,0.6575487134351162
0.925784618603343,0.7897122357994971,0.8299674346515539,0.49705807218873344,0.7991031964286438,0.7225474787587597
0.248273220011547,0.3467889273209756,0.30261165312643,0.8055350706553195,0.4721142349247071,0.547136932765955
0.6753885873648096,0.8011652880291068,0.7486053503286025,0.5010037424588842,0.8074043646350815,0.8537668521690437
0.8260600808778328,0.40051357527842635,0.49145854408205514,0.8059576562424627,0.4662630184482298,0.22858967192924368
0.5322145491739916,0.7711308775859981,0.8668613785799701,0.45325206198442447,0.8123159537815365,0.6165357718853671
0.9325579293084125,0.512134492662635,0.17467478437165262,0.7946699451462295,0.45914850373471555,0.6741343394151548
0.2297596698396257,0.7511231510134582,0.5094516863227627,0.5634306063201334,0.7997100386975867,0.7112878482565568
0.6346065133141309,0.6368600302801568,0.7964656638053828,0.8231640362267784,0.45520917191097565,0.5766031972074371
0.8624900226707886,0.7134210921537225,0.4358524635086998,0.3038746026965511,0.8160008642520742,0.8182622252510661
0.44224048938888866,0.5367723000380785,0.7977719664422768,0.7384955665131748,0.48577243088386085,0.3347835373239129
0.9075837921643776,0.8397275763840273,0.45198851855411515,0.5315153971326125,0.8240579335548182,0.7716815941291928
0.312045089896344,0.2308424501962182,0.8034917523594567,0.8338310661013785,0.3953636707165285,0.42106839447023925
0.7952362260949133,0.6413983982237917,0.513678181308798,0.29043031785902573,0.7793809462703408,0.8540581992964028
0.6001684536522081,0.655434470067486,0.8241276514161155,0.7298183301877185,0.5786884874936062,0.21879206903451556
0.8865851947231627,0.6860439862646296,0.3431270930649134,0.5332642607331569,0.7610899265116535,0.6024283761212917
0.3781841213969784,0.5965125242168989,0.7682096275472619,0.8423264786650649,0.545813947125837,0.7335659022388347
0.8752239509451821,0.7945784286539318,0.4919303289837436,0.2767641360501281,0.784821012945047,0.5830039030515125
0.4185994595344642,0.3491317729381256,0.7956662214633781,0.716925879626698,0.5661788028760285,0.7467629175999819
0.9039304794159736,0.7954752025509401,0.521662469622639,0.5728893127073666,0.7852127282439344,0.5560929324407012
0.3149141166002068,0.34292592391682486,0.7944402766914048,0.8162871299848736,0.486266063285644,0.7678371048003264
0.7779688886940392,0.7965702747919386,0.5201283214441943,0.3253898110166322,0.8060447588790636,0.5428137530168906
0.6409983087244391,0.37148576853331305,0.7889939116142283,0.7732007374316293,0.5023571081410713,0.7625854417106186
0.8637661333319269,0.7720801153196546,0.5134891699698654,0.44080868165666615,0.8252773204529976,0.5293910413089153
0.4246494734885252,0.42553560830647674,0.8021138468183464,0.8667918508234689,0.4343934221282166,0.7705098022289115
0.9071522643755437,0.8527168694027201,0.480286671238605,0.18907375142862545,0.7952899580813895,0.54605303256655
0.31275900139910107,0.2099736966608577,0.7807470954044946,0.5141029834678483,0.5636505504237204,0.7557894615696745
0.8017979285928386,0.586816604491637,0.5889495584545625,0.7930337066173572,0.8277885291594783,0.5447088687809588
0.6082630954420621,0.7355222645982057,0.784099071491807,0.46579410129330023,0.33188783216566775,0.7787789070337393
0.8775614713475868,0.5739469653727005,0.42598626616033475,0.8021258724906177,0.8030727256326635,0.5535832559533832
0.3871705175226503,0.7480445744293391,0.8458891229994113,0.49001831550048436,0.3560796825837705,0.7836182403798971
0.8678119637744984,0.6165393590006177,0.27079588895068674,0.7827860006038531,0.8025637255774245,0.5418723390899115
0.41530473863786893,0.6785033038686057,0.6864179684886125,0.5602056325961435,0.37320694150311357,0.7781080457292103
0.90481350009996,0.698247221717077,0.6587947377054116,0.792009309298089,0.8177551174607399,0.5502712735125382
